tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Economics,1350,Duke University,Attila,,Ambrus,2235974,2,average,TEACHER,PROFESSOR,3.0
Anthropology,1350,Duke University,Caroline,,Amoroso,2500635,0,zero,TEACHER,PROFESSOR,N/A
Public Policy,1350,Duke University,Elizabeth,,Ananat,981346,7,good,TEACHER,PROFESSOR,4.0
Public Policy,1350,Duke University,Ryan,,Ananat,1725418,2,poor,TEACHER,PROFESSOR,2.2
Education,1350,Duke University,Amy,,Anderson,1889144,15,good,TEACHER,PROFESSOR,4.5
Spanish,1350,Duke University,Eileen,,Anderson,1678141,17,good,TEACHER,PROFESSOR,4.4
Mathematics,1350,Duke University,Phillip,,Andreae,1945689,5,good,TEACHER,PROFESSOR,4.3
Writing,1350,Duke University,Lisa,,Andres,1984525,13,good,TEACHER,PROFESSOR,4.3
Languages,1350,Duke University,Edna,,Andrews,94104,50,good,TEACHER,PROFESSOR,4.7
Biology,1350,Duke University,Misha,,Angrist,1898580,3,good,TEACHER,PROFESSOR,4.0
Philosophy,1350,Duke University,Jonathan,,Anomaly,1563729,27,good,TEACHER,PROFESSOR,4.8
Writing,1350,Duke University,Jennifer,,Ansley,1910168,10,average,TEACHER,PROFESSOR,2.9
Fine Arts,1350,Duke University,Mark,,Antliff,32424,18,good,TEACHER,PROFESSOR,3.6
Classics,1350,Duke University,Carla,,Antonaccio,1044212,8,good,TEACHER,PROFESSOR,4.6
Languages,1350,Duke University,Kathleen,,Antonioli,1782641,4,good,TEACHER,PROFESSOR,5.0
Literature,1350,Duke University,Carol,,Apollonio,2067402,7,good,TEACHER,PROFESSOR,4.9
Literature,1350,Duke University,Sara,,Appel,1439687,1,poor,TEACHER,PROFESSOR,1.0
Psychology,1350,Duke University,Karen,,Appleyard,1192761,4,average,TEACHER,PROFESSOR,2.8
English,1350,Duke University,Srinivas,,Aravamudan,1024956,0,zero,TEACHER,PROFESSOR,N/A
Physics,1350,Duke University,Ayana,,Arce,1723864,1,good,TEACHER,PROFESSOR,4.5
Latin American Studies,1350,Duke University,Antonio,,Arce,1724593,2,good,TEACHER,PROFESSOR,3.8
Economics,1350,Duke University,Peter,,Arcidiacono,578165,11,good,TEACHER,PROFESSOR,4.2
Political Science,1350,Duke University,Alyssa,,Ardito,617963,0,zero,TEACHER,PROFESSOR,N/A
Writing,1350,Duke University,Talia,,Argondezzi,1665665,5,average,TEACHER,PROFESSOR,3.1
Economics,1350,Duke University,Dan,,Ariely,1579587,9,good,TEACHER,PROFESSOR,3.7
Global Health,1350,Duke University,Sumedha,G,Ariely,1906036,6,good,TEACHER,PROFESSOR,4.3
Biology,1350,Duke University,Daniele,,Armaleo,511949,34,good,TEACHER,PROFESSOR,4.2
English,1350,Duke University,Nancy,,Armstrong,1269538,2,good,TEACHER,PROFESSOR,3.5
Business,1350,Duke University,Ashish,,Arora,2462475,0,zero,TEACHER,PROFESSOR,N/A
Religion,1350,Duke University,Torang,,Asadi,2394947,1,good,TEACHER,PROFESSOR,4.0
Chemistry,1350,Duke University,Valerie,,Ashby,2477644,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1350,Duke University,Steven,,Asher,507706,15,average,TEACHER,PROFESSOR,3.3
English,1350,Duke University,Christina,,Askounis,516291,11,good,TEACHER,PROFESSOR,3.7
Mathematics,1350,Duke University,Paul,,Aspinwall,1114467,7,good,TEACHER,PROFESSOR,4.0
Computer Science,1350,Duke University,Owen,,Astrachan,44522,110,good,TEACHER,PROFESSOR,4.0
Classics,1350,Duke University,Jed,,Atkins,1407357,21,good,TEACHER,PROFESSOR,4.5
Athletics,1350,Duke University,Jeffrey,,Au,745125,10,good,TEACHER,PROFESSOR,4.2
Mathematics,1350,Duke University,Eric,,Autry,2489584,3,good,TEACHER,PROFESSOR,5.0
Computer Science,1350,Duke University,Salman,,Azhar,2004108,42,good,TEACHER,PROFESSOR,3.9
Spanish,1350,Duke University,Leonardo,,Bacarreza,1664894,4,good,TEACHER,PROFESSOR,3.8
Sociology,1350,Duke University,Rebecca,,Bach,843111,10,good,TEACHER,PROFESSOR,4.3
Sociology,1350,Duke University,Chris,,Bail,2087896,12,average,TEACHER,PROFESSOR,3.3
Philosophy,1350,Duke University,Jennifer,,Baker,374206,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,1350,Duke University,Lee,,Baker,1644919,3,good,TEACHER,PROFESSOR,3.5
Mathematics,1350,Duke University,Prakash,,Balachandran,1051585,3,good,TEACHER,PROFESSOR,3.5
Political Science,1350,Duke University,Laia,,Balcells,1852895,5,good,TEACHER,PROFESSOR,4.9
Chemistry,1350,Duke University,Steven,,Baldwin,171386,106,good,TEACHER,PROFESSOR,4.7
Writing,1350,Duke University,Brenda,,Baletti,1785890,26,good,TEACHER,PROFESSOR,3.7
Economics,1350,Duke University,Edward,,Balleisen,384691,12,good,TEACHER,PROFESSOR,3.9
Documentary Studies,1350,Duke University,Bill,,Bamberger,1869423,5,good,TEACHER,PROFESSOR,4.7
Languages,1350,Duke University,Laura,,Banella,1960008,1,good,TEACHER,PROFESSOR,5.0
Statistics,1350,Duke University,David,,Banks,514353,61,good,TEACHER,PROFESSOR,4.1
Anthropology,1350,Duke University,Neta,,Bar,1449414,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1350,Duke University,Rann,,Bar-On,731350,170,good,TEACHER,PROFESSOR,4.2
English,1350,Duke University,Dominika,,Baran,1495868,14,good,TEACHER,PROFESSOR,4.0
Physics,1350,Duke University,Harold,,Baranger,1671975,6,good,TEACHER,PROFESSOR,4.2
Mathematics,1350,Duke University,Paolo,,Barbano,1952708,2,poor,TEACHER,PROFESSOR,1.0
Physics,1350,Duke University,Phillip,,Barbeau,2115346,5,good,TEACHER,PROFESSOR,3.9
History,1350,Duke University,James,,Barker,433224,9,good,TEACHER,PROFESSOR,4.9
History,1350,Duke University,Nicole,,Barnes,2134104,6,good,TEACHER,PROFESSOR,4.0
Public Policy,1350,Duke University,Carolyn,Yvette,Barnes,2235181,12,average,TEACHER,PROFESSOR,2.7
Literature,1350,Duke University,Fiona,,Barnett,1346814,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1350,Duke University,Roger,,Barr,526742,5,good,TEACHER,PROFESSOR,4.2
History,1350,Duke University,Justin,,Barr,2440610,5,good,TEACHER,PROFESSOR,4.2
Statistics,1350,Duke University,Andres,,Barrientos,2360867,1,poor,TEACHER,PROFESSOR,2.0
Engineering,1350,Duke University,Ana,,Barros,598610,6,poor,TEACHER,PROFESSOR,2.2
Languages,1350,Duke University,Joanna,,Barros,813358,9,average,TEACHER,PROFESSOR,3.0
Law,1350,Duke University,Katharine,,Bartlett,1489149,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1350,Duke University,Anirban,,Basak,2009226,0,zero,TEACHER,PROFESSOR,N/A
Physics,1350,Duke University,Steffen,,Bass,1963030,1,good,TEACHER,PROFESSOR,4.0
English,1350,Duke University,Ian,,Baucom,1930276,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1350,Duke University,Monika,,Bauer,2259528,3,poor,TEACHER,PROFESSOR,2.0
Biology,1350,Duke University,Ryan,,Baugh,1514185,9,good,TEACHER,PROFESSOR,3.5
Economics,1350,Duke University,Patrick,,Bayer,2426578,2,poor,TEACHER,PROFESSOR,2.0
Mathematics,1350,Duke University,Tom,,Beale,152068,6,good,TEACHER,PROFESSOR,4.1
Law,1350,Duke University,Sara Sun,,Beale,560773,3,good,TEACHER,PROFESSOR,4.3
Political Science,1350,Duke University,Darren,,Beattie,2252311,0,zero,TEACHER,PROFESSOR,N/A
Anthropology,1350,Duke University,Christine,,Beaule,400171,18,average,TEACHER,PROFESSOR,3.0
Religion,1350,Duke University,Daniel,,Becerra,2390047,1,good,TEACHER,PROFESSOR,5.0
Economics,1350,Duke University,Charles,,Becker,1048323,4,good,TEACHER,PROFESSOR,4.5
Mathematics,1350,Duke University,Matthew,James,Beckett,2287558,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1350,Duke University,Erin,,Beckman,2315499,1,good,TEACHER,PROFESSOR,4.0
English,1350,Duke University,Sarah,,Beckwith,510504,8,good,TEACHER,PROFESSOR,3.9
Chemistry,1350,Duke University,Lorena,,Beese,659370,4,poor,TEACHER,PROFESSOR,2.1
Languages,1350,Duke University,Mattia,,Begali,1756887,7,good,TEACHER,PROFESSOR,4.6
Physics,1350,Duke University,Robert,,Behringer,1576593,11,average,TEACHER,PROFESSOR,2.5
Engineering,1350,Duke University,Adrian,,Bejan,574702,7,good,TEACHER,PROFESSOR,4.8
Biology,1350,Duke University,Amy,,Bejsovec,531944,34,good,TEACHER,PROFESSOR,3.8
Languages,1350,Duke University,Anaïs,,Belaud,1428975,2,good,TEACHER,PROFESSOR,3.8
Business,1350,Duke University,Sharon,,Belenzon,2234785,0,zero,TEACHER,PROFESSOR,N/A
Writing,1350,Duke University,Maleda,,Belilgne,1116334,3,good,TEACHER,PROFESSOR,3.7
Theater,1350,Duke University,Neal,,Bell,1332395,4,good,TEACHER,PROFESSOR,5.0
Languages,1350,Duke University,David,,Bell,1565105,2,good,TEACHER,PROFESSOR,4.0
Mathematics,1350,Duke University,Mike,,Bell,2157217,2,good,TEACHER,PROFESSOR,5.0
Mathematics,1350,Duke University,Sergei,,Belov,675613,6,poor,TEACHER,PROFESSOR,1.8
Languages,1350,Duke University,Abdelrazzaq,,Ben Tarif,2039620,9,good,TEACHER,PROFESSOR,4.8
English,1350,Duke University,Carolin,,Benack,2549514,0,zero,TEACHER,PROFESSOR,N/A
Theater,1350,Duke University,Torry,,Bend,1574613,2,good,TEACHER,PROFESSOR,4.0
Mathematics,1350,Duke University,Paul,,Bendich,930401,15,good,TEACHER,PROFESSOR,4.5
Film,1350,Duke University,Elisabeth,,Benfey,969229,6,good,TEACHER,PROFESSOR,4.6
Biology,1350,Duke University,Philip,,Benfey,1320946,0,zero,TEACHER,PROFESSOR,N/A
Religion,1350,Duke University,Jana,,Bennett,405265,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1350,Duke University,Gary,,Bennett,1398166,12,good,TEACHER,PROFESSOR,4.4
Public Policy,1350,Duke University,Philip,,Bennett,1490427,4,good,TEACHER,PROFESSOR,4.0
Computer Science,1350,Duke University,Theophilus,A.,Benson,1989495,16,poor,TEACHER,PROFESSOR,1.5
Political Science,1350,Duke University,Pablo,,Beramendi,1101033,8,good,TEACHER,PROFESSOR,4.0
Chemistry,1350,Duke University,David,N,Beratan,2400291,1,good,TEACHER,PROFESSOR,4.0
Economics,1350,Duke University,Arie,,Berensteanu,1440072,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1350,Duke University,Elika,,Bergelson,2474011,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1350,Duke University,Christine,,Berkesch,1620242,8,good,TEACHER,PROFESSOR,3.9
Writing,1350,Duke University,James,,Berkey,1720512,3,average,TEACHER,PROFESSOR,3.0
Music,1350,Duke University,Paul,,Berliner,2150448,1,good,TEACHER,PROFESSOR,5.0
Public Policy,1350,Duke University,Sarah,,Bermeo,1524099,12,average,TEACHER,PROFESSOR,3.4
Biology,1350,Duke University,Emily,,Bernhardt,1007661,12,good,TEACHER,PROFESSOR,3.5
Philosophy,1350,Duke University,Andrew,,Bernstein,487798,0,zero,TEACHER,PROFESSOR,N/A
Philosophy,1350,Duke University,Sara,,Bernstein,1496209,3,good,TEACHER,PROFESSOR,4.5
Languages,1350,Duke University,Sonja,,Bertucci,397522,9,average,TEACHER,PROFESSOR,2.8
Neuroscience,1350,Duke University,Vikas,,Bhandawat,2139871,3,average,TEACHER,PROFESSOR,3.0
Public Policy,1350,Duke University,Sandeep,,Bhattacharya,2442524,2,poor,TEACHER,PROFESSOR,2.0
Documentary Studies,1350,Duke University,John,,Biewen,612325,5,good,TEACHER,PROFESSOR,4.3
Mathematics,1350,Duke University,Jamie,,Bigelow,937145,0,zero,TEACHER,PROFESSOR,N/A
Languages,1350,Duke University,Laura,,Bilanceri,2317022,4,good,TEACHER,PROFESSOR,5.0
Psychology,1350,Duke University,Staci,,Bilbo,1231155,6,good,TEACHER,PROFESSOR,4.2
Mathematics,1350,Duke University,Lydia,,Bilinsky,1933134,9,good,TEACHER,PROFESSOR,4.1
Sociology,1350,Duke University,Colin,,Birkhead,2453174,0,zero,TEACHER,PROFESSOR,N/A
Biology,1350,Duke University,Kristin,,Bishop,899697,0,zero,TEACHER,PROFESSOR,N/A
Writing,1350,Duke University,Joella,,Bitter,2124283,2,poor,TEACHER,PROFESSOR,1.0
Paleontology,1350,Duke University,Michael,,Black,192927,0,zero,TEACHER,PROFESSOR,N/A
English,1350,Duke University,Taylor,,Black,2288405,2,good,TEACHER,PROFESSOR,5.0
Psychology,1350,Duke University,John,,Blackshear,1803943,7,good,TEACHER,PROFESSOR,5.0
Law,1350,Duke University,William,,Blais,1219259,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1350,Duke University,Lewis,,Blake,44524,72,good,TEACHER,PROFESSOR,4.7
Theology,1350,Duke University,Kalman,,Bland,264828,19,good,TEACHER,PROFESSOR,3.5
Sociology,1350,Duke University,Kim,,Blankenship,1398168,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1350,Duke University,Tyler,K,Bletsch,2122671,12,good,TEACHER,PROFESSOR,4.8
Journalism,1350,Duke University,Robert,,Bliwise,270908,8,average,TEACHER,PROFESSOR,2.5
Public Policy,1350,Duke University,Alma,,Blount,398253,19,good,TEACHER,PROFESSOR,4.1
Engineering,1350,Duke University,Volker,,Blum,1952928,5,average,TEACHER,PROFESSOR,3.0
Engineering,1350,Duke University,Fred,,Boadu,826085,14,poor,TEACHER,PROFESSOR,2.3
Engineering,1350,Duke University,John,,Board,587779,10,good,TEACHER,PROFESSOR,4.7
Classics,1350,Duke University,Mary,,Boatwright,235467,27,good,TEACHER,PROFESSOR,3.9
Mathematics,1350,Duke University,Omer,,Bobrowski,1761308,12,good,TEACHER,PROFESSOR,4.1
Anthropology,1350,Duke University,paolo,,bocci,2505156,2,good,TEACHER,PROFESSOR,3.5
Languages,1350,Duke University,Silvia,,Boero,750445,6,good,TEACHER,PROFESSOR,4.6
Art & Art History,1350,Duke University,Antonio,,Bogaert,1787695,5,good,TEACHER,PROFESSOR,4.5
Mathematics,1350,Duke University,John,,Boling,1693106,2,good,TEACHER,PROFESSOR,3.8
Economics,1350,Duke University,Tim,,Bollerslev,814294,6,average,TEACHER,PROFESSOR,3.3
Mathematics,1350,Duke University,Fernando,,Bonassi,1613428,2,good,TEACHER,PROFESSOR,5.0
Philosophy,1350,Duke University,Hannah,,Bondurant,2275318,5,good,TEACHER,PROFESSOR,4.2
Sociology,1350,Duke University,Bart,,Bonikowski,565045,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1350,Duke University,Eduardo,,Bonilla-Silva,905786,20,good,TEACHER,PROFESSOR,3.9
History,1350,Duke University,Dirk,,Bonker,833317,13,average,TEACHER,PROFESSOR,3.5
Music,1350,Duke University,Alexander,,Bonus,1719871,2,poor,TEACHER,PROFESSOR,2.2
Mathematics,1350,Duke University,Jack,,Bookman,133247,37,average,TEACHER,PROFESSOR,3.4
Writing,1350,Duke University,Jessica,,Boon,459535,13,good,TEACHER,PROFESSOR,4.5
Public Policy,1350,Duke University,Nathan,,Boucher,2253474,17,good,TEACHER,PROFESSOR,4.5
Chemistry,1350,Duke University,John,,Boulos,1746904,1,good,TEACHER,PROFESSOR,5.0
Languages,1350,Duke University,Amal,,Boumaaza,2254970,0,zero,TEACHER,PROFESSOR,N/A
Biology,1350,Duke University,Andre,,Boustany,2221338,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1350,Duke University,Jake,,Bouvrie,1528471,2,good,TEACHER,PROFESSOR,4.0
Mathematics,1350,Duke University,Elizabeth,,Bouzarth,1192301,9,good,TEACHER,PROFESSOR,3.6
Mathematics,1350,Duke University,Matt,,Bowen,914148,10,poor,TEACHER,PROFESSOR,2.2
Spanish,1350,Duke University,Robin,,Bower,1227871,0,zero,TEACHER,PROFESSOR,N/A
Nursing,1350,Duke University,Midge,,Bowers,466225,0,zero,TEACHER,PROFESSOR,N/A
Writing,1350,Duke University,Jennifer,,Bowles,2101273,0,zero,TEACHER,PROFESSOR,N/A
Writing,1350,Duke University,Nathaniel,,Bowles,2497236,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1350,Duke University,Larry,,Boyd,1160084,4,good,TEACHER,PROFESSOR,4.6
Global Health,1350,Duke University,David,,Boyd,1647634,16,good,TEACHER,PROFESSOR,4.3
Church History,1350,Duke University,Sujin,Pak,Boyer,1801777,0,zero,TEACHER,PROFESSOR,N/A
Writing,1350,Duke University,Adam,Howell,Boyette,2056398,16,good,TEACHER,PROFESSOR,3.8
Law,1350,Duke University,James,,Boyle,1127564,2,good,TEACHER,PROFESSOR,3.5
Music,1350,Duke University,John,,Brackett,1784607,1,good,TEACHER,PROFESSOR,5.0
Energy Systems,1350,Duke University,Kyle,,Bradbury,2462075,2,good,TEACHER,PROFESSOR,5.0
Philosophy,1350,Duke University,Katherine,,Brading,2523040,0,zero,TEACHER,PROFESSOR,N/A
Nursing,1350,Duke University,Wanda,,Bradshaw,466227,7,good,TEACHER,PROFESSOR,4.2
Electrical Engineering,1350,Duke University,David,,Brady,858778,13,good,TEACHER,PROFESSOR,4.2
Mathematics,1350,Duke University,Emily,,Braley,1763300,4,good,TEACHER,PROFESSOR,3.8
Philosophy,1350,Duke University,Robert,,Brandon,343566,5,good,TEACHER,PROFESSOR,3.8
Public Policy,1350,Duke University,Hal,,Brands,1818616,2,good,TEACHER,PROFESSOR,4.8
Psychology,1350,Duke University,Elizabeth,,Brannon,489840,9,good,TEACHER,PROFESSOR,3.8
Physical Education,1350,Duke University,Sheri,,Branson,2087442,3,good,TEACHER,PROFESSOR,5.0
Business,1350,Duke University,Alon,,Brav,129423,4,good,TEACHER,PROFESSOR,4.0
Mathematics,1350,Duke University,Hubert,,Bray,1647523,18,good,TEACHER,PROFESSOR,4.7
Mathematics,1350,Duke University,Clark,,Bray,522550,140,good,TEACHER,PROFESSOR,4.0
Nursing,1350,Duke University,Daya,,Breckinridge,466231,0,zero,TEACHER,PROFESSOR,N/A
History,1350,Duke University,Dominique,,Bregent-Heald,453441,0,zero,TEACHER,PROFESSOR,N/A
Nursing,1350,Duke University,Jill,,Brennan-Cook,2168020,1,good,TEACHER,PROFESSOR,5.0
Writing,1350,Duke University,Gregory,,Brennen,2331855,0,zero,TEACHER,PROFESSOR,N/A
Economics,1350,Duke University,Jason,,Brent,2138084,4,good,TEACHER,PROFESSOR,5.0
Education,1350,Duke University,Ann,,Brewster,1845015,15,good,TEACHER,PROFESSOR,4.4
Engineering,1350,Duke University,Leila,,Bridgeman,2411338,7,poor,TEACHER,PROFESSOR,2.1
Writing,1350,Duke University,Matthew,,Brim,590724,14,good,TEACHER,PROFESSOR,4.4
Nursing,1350,Duke University,John,,Brion,1459362,0,zero,TEACHER,PROFESSOR,N/A
Marketing,1350,Duke University,Julie,,Britton,1689694,1,good,TEACHER,PROFESSOR,4.0
Engineering,1350,Duke University,Martin,,Brooke,586385,6,poor,TEACHER,PROFESSOR,2.2
Public Policy,1350,Duke University,David,,Brooks,955993,0,zero,TEACHER,PROFESSOR,N/A
Music,1350,Duke University,Tom,,Brothers,467863,18,average,TEACHER,PROFESSOR,3.0
Biology,1350,Duke University,Sherryl,,Broverman,196280,69,average,TEACHER,PROFESSOR,3.5
Public Policy,1350,Duke University,Tony,,Brown,380718,15,good,TEACHER,PROFESSOR,4.7
Music,1350,Duke University,John,,Brown,497744,18,average,TEACHER,PROFESSOR,2.9
Anthropology,1350,Duke University,Margaret,,Brown,1307334,4,good,TEACHER,PROFESSOR,4.8
Law,1350,Duke University,Bill,,Brown,1599473,2,good,TEACHER,PROFESSOR,4.0
Economics,1350,Duke University,Derek,,Brown,1680173,1,average,TEACHER,PROFESSOR,2.5
Engineering,1350,Duke University,April,,Brown,1796040,5,average,TEACHER,PROFESSOR,3.0
Physics,1350,Duke University,Robert,,Brown,433432,57,good,TEACHER,PROFESSOR,3.6
Sociology,1350,Duke University,Tyson,,Brown,2482537,4,good,TEACHER,PROFESSOR,3.5
Fine Arts,1350,Duke University,Caroline,,Bruzelius,194034,13,good,TEACHER,PROFESSOR,4.8
Philosophy,1350,Duke University,Allen,,Buchanan,591732,17,good,TEACHER,PROFESSOR,4.0
Biology,1350,Duke University,Nicolas,,Buchler,1521540,11,good,TEACHER,PROFESSOR,3.9
Engineering,1350,Duke University,Elizabeth,,Bucholz,1883210,9,good,TEACHER,PROFESSOR,5.0
English,1350,Duke University,Devin,,Buckley,2426808,1,good,TEACHER,PROFESSOR,5.0
Physical Ed,1350,Duke University,Al,,Buehler,794817,3,good,TEACHER,PROFESSOR,5.0
Classics,1350,Duke University,Peter,,Burian,532174,4,good,TEACHER,PROFESSOR,4.6
Philosophy,1350,Duke University,Tim,,Burkhardt,2314303,11,good,TEACHER,PROFESSOR,5.0
Public Policy,1350,Duke University,John,,Burness,1848694,1,good,TEACHER,PROFESSOR,3.5
Film,1350,Duke University,Fred,,Burns,493970,8,good,TEACHER,PROFESSOR,4.4
Writing,1350,Duke University,Kathleen,,Burns,2292213,2,good,TEACHER,PROFESSOR,4.5
Economics,1350,Duke University,Craig,,Burnside,529822,20,average,TEACHER,PROFESSOR,3.4
Engineering,1350,Duke University,Nenad,,Bursac,585801,6,average,TEACHER,PROFESSOR,2.6
Political Science,1350,Duke University,Tim,,Buthe,489588,10,average,TEACHER,PROFESSOR,3.1
Languages,1350,Duke University,Mirela,,Butnaru,756304,14,good,TEACHER,PROFESSOR,4.2
Anthropology,1350,Duke University,Ingrid,,Byerly,783364,86,good,TEACHER,PROFESSOR,4.7
History,1350,Duke University,Andrew,,Byers,1552512,7,good,TEACHER,PROFESSOR,4.8
History,1350,Duke University,John ,Andrew,Byers,2058391,1,average,TEACHER,PROFESSOR,3.0
Psychology,1350,Duke University,Roberto,,Cabeza,133035,26,average,TEACHER,PROFESSOR,3.4
Economics,1350,Duke University,John,,Caccavale,1964661,11,good,TEACHER,PROFESSOR,5.0
Writing,1350,Duke University,Nicolette,,Cagle,1709772,15,good,TEACHER,PROFESSOR,4.7
Languages,1350,Duke University,Jie,,Cai,494544,24,good,TEACHER,PROFESSOR,4.6
Mathematics,1350,Duke University,Robert,,Calderbank,1852935,3,good,TEACHER,PROFESSOR,4.7
Economics,1350,Duke University,Bruce,,Caldwell,1516362,4,good,TEACHER,PROFESSOR,4.0
English,1350,Duke University,Clare,,Callahan,1796206,1,good,TEACHER,PROFESSOR,5.0
Political Science,1350,Duke University,Keegan,,Callanan,1433563,4,good,TEACHER,PROFESSOR,5.0
Science,1350,Duke University,Lisa,,Campbell,1149247,1,good,TEACHER,PROFESSOR,4.0
Religion,1350,Duke University,Charles,,Campbell,2078449,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1350,Duke University,Jonathan,,Campbell,2566134,1,good,TEACHER,PROFESSOR,5.0
Spanish,1350,Duke University,Xiomara,,Campilongo,2008985,3,good,TEACHER,PROFESSOR,4.2
Women's Studies,1350,Duke University,Tina,,Campt,578142,4,poor,TEACHER,PROFESSOR,2.1
Chemistry,1350,Duke University,Dorian,,Canelas,1270029,86,good,TEACHER,PROFESSOR,4.0
